Mention,DateTime,Station,Show
COVID19,4/1/20,ALJAZ,The Listening Post 2020 Ep  13
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Hungary - Europes Bad Boy
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Hungary - Europes Bad Boy
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  92
COVID19,4/1/20,ALJAZ,The Listening Post 2020 Ep  13
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,The Stream 2019 Ep 193
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,Hillbilly
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Hungary - Europes Bad Boy
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Hillbilly
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  92
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Hungary - Europes Bad Boy
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,The Listening Post 2020 Ep  13
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,The Stream 2019 Ep 185
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,In The Footsteps Of A Tunisian Hero
COVID19,4/1/20,ALJAZ,In The Footsteps Of A Tunisian Hero
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  92
COVID19,4/1/20,ALJAZ,The Stream 2019 Ep 185
COVID19,4/1/20,ALJAZ,The Listening Post 2020 Ep  13
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Hungary - Europes Bad Boy
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,On The E-Waste Trail
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,Hungary - Europes Bad Boy
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,The Listening Post 2020 Ep  13
COVID19,4/1/20,ALJAZ,Counting the Cost 2020 Ep  13
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Alexis Martinez Pena Countryman
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  92
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,Inside Story 2020 Ep  91
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Hungary - Europes Bad Boy
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,On The E-Waste Trail
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,Hungary - Europes Bad Boy
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,Return Of A President
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,Hungary - Europes Bad Boy
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,On The E-Waste Trail
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,On The E-Waste Trail
COVID19,4/1/20,ALJAZ,On The E-Waste Trail
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,On The E-Waste Trail
COVID19,4/1/20,ALJAZ,NEWS LIVE - 30
COVID19,4/1/20,ALJAZ,The Listening Post 2020 Ep  13
COVID19,4/1/20,ALJAZ,NEWSHOUR
COVID19,4/1/20,ALJAZ,Return Of A President
COVID19,4/1/20,ALJAZ,NEWSHOUR
